method,corruption,online_updates,prior_mass,trials,exploitability_mean,exploitability_stderr,exploitability_p90,paired_improvement_mean,paired_improvement_stderr,paired_win_rate
vanilla,0.0,4,0.0,100,0.6067276195405562,0.010570236304360641,0.744443135980723,0.0,0.0,0.0
vanilla,0.0,4,1.0,100,0.45490119244578714,0.008372738826614502,0.5761737673658054,0.15182642709476915,0.012867968481639755,0.86
vanilla,0.0,4,4.0,100,0.2560153292466193,0.004843490988019771,0.33474676058847,0.35071229029393697,0.010859037300909601,1.0
vanilla,0.0,4,16.0,100,0.08883085031915035,0.0011782777155895496,0.10594619178021822,0.5178967692214059,0.01041893644226558,1.0
vanilla,0.0,4,64.0,100,0.03172784078208211,0.0003490051408978049,0.035529886688171766,0.5749997787584742,0.010574357456724364,1.0
vanilla,0.0,4,256.0,100,0.02060446062819998,9.285511923626622e-5,0.021606117780530017,0.5861231589123562,0.010582331167678222,1.0
vanilla,0.0,4,1024.0,100,0.018314144932406455,1.599157283856445e-5,0.018493362611214884,0.5884134746081497,0.01057230729083498,1.0
vanilla,0.0,4,4096.0,100,0.017611505857085888,1.7573032798451085e-6,0.017632455437720677,0.5891161136834705,0.010570296388653502,1.0
vanilla,0.0,16,0.0,100,0.428157145358121,0.0095989206400056,0.5415729431066814,0.0,0.0,0.0
vanilla,0.0,16,1.0,100,0.43874808147234773,0.009338192607954427,0.5634263549630752,-0.010590936114226727,0.013757502981341041,0.47
vanilla,0.0,16,4.0,100,0.4206744159712051,0.008062325706259987,0.5240320026923823,0.00748272938691599,0.011721009609967678,0.58
vanilla,0.0,16,16.0,100,0.25423227209554733,0.004518370328320738,0.30866428324353423,0.17392487326257366,0.010610784831820343,0.94
vanilla,0.0,16,64.0,100,0.09161501350202503,0.0018162572074842767,0.11485385602929463,0.336542131856096,0.009991839093283585,1.0
vanilla,0.0,16,256.0,100,0.03086540571352522,0.0004010800121626623,0.03475509824425864,0.39729173964459585,0.009652363277205379,1.0
vanilla,0.0,16,1024.0,100,0.018608345800628655,6.583060449694455e-5,0.019397332082302998,0.40954879955749235,0.00960404129706929,1.0
vanilla,0.0,16,4096.0,100,0.01778337008411953,1.2498695053546796e-5,0.01794322930470261,0.4103737752740014,0.009601221365973543,1.0
vanilla,0.0,64,0.0,100,0.2500459093090348,0.006313630044196915,0.3385377881515946,0.0,0.0,0.0
vanilla,0.0,64,1.0,100,0.23312757087412384,0.008696563943667242,0.37455986049609674,0.01691833843491095,0.011044152848732492,0.62
vanilla,0.0,64,4.0,100,0.20310924934886246,0.006495825358735154,0.2665623884566556,0.046936659960172385,0.00891739713217414,0.74
vanilla,0.0,64,16.0,100,0.2327334933237208,0.004181440456079634,0.2932055934003035,0.01731241598531397,0.007867919045583758,0.56
vanilla,0.0,64,64.0,100,0.17594959874828445,0.003681514964410982,0.21285567484574994,0.07409631056075044,0.007261089795193247,0.87
vanilla,0.0,64,256.0,100,0.07076045383024243,0.0008043973952986934,0.07989291399129446,0.17928545547879235,0.00643654218278388,1.0
vanilla,0.0,64,1024.0,100,0.028355765117350967,0.0002840376692283742,0.031743495719878945,0.2216901441916838,0.006270775617026719,1.0
vanilla,0.0,64,4096.0,100,0.017485876338346737,4.596798724094348e-5,0.018027799227200117,0.23256003297068809,0.0063105223214485195,1.0
vanilla,0.1,4,0.0,100,0.6067276195405562,0.010570236304360641,0.744443135980723,0.0,0.0,0.0
vanilla,0.1,4,1.0,100,0.4270145052816593,0.0038824726059721363,0.4760835264649848,0.17971311425889702,0.01072211924489449,0.97
