method,online_updates,prior_mass,trial,seed,p1_value_vs_br_p2,br_p1_value_vs_p2,exploitability,root_p1_action_1,root_p1_action_2,root_p1_action_3,root_p2_action_1,root_p2_action_2,root_p2_action_3
vanilla,16,1024.0,36,20420750,-0.14211336444651668,-0.12390454076708361,0.018208823679433064,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,16,4096.0,36,20420750,-0.14385751832979973,-0.12611676488600837,0.017740753443791363,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,16,0.0,37,20420751,-0.30392210466402947,0.036515037274066124,0.3404371419380956,0.785099682392802,0.0625,0.15240031760719794,0.6552552866396308,0.020833333333333332,0.32391138002703584
vanilla,16,1.0,37,20420751,-0.31785926692683897,-0.0017590666957610715,0.3161002002310779,0.8503249052201627,0.14960328871366083,7.180606617647059e-5,0.9998951424429705,5.840982656805947e-6,9.901657437264161e-5
vanilla,16,4.0,37,20420751,-0.28773172486345483,0.09492282528971659,0.3826545501531714,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,16,16.0,37,20420751,-0.24684864842656273,-0.008974695108152774,0.23787395331840996,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,16,64.0,37,20420751,-0.1767721337940265,-0.07968987970089357,0.09708225409313294,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,16,256.0,37,20420751,-0.15080057728948174,-0.11829573419867166,0.03250484309081007,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,16,1024.0,37,20420751,-0.14329813859438068,-0.12444822793350895,0.01884991066087173,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,16,4096.0,37,20420751,-0.14380724963144065,-0.1261667534600796,0.017640496171361042,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,16,0.0,38,20420752,-0.3617339691829447,0.11358747655335728,0.475321445736302,0.9583333333333333,0.020833333333333332,0.020833333333333332,0.39950558057968827,0.35470612242716326,0.24578829699314841
vanilla,16,1.0,38,20420752,-0.34610783328599076,0.023052390803190628,0.36916022408918137,0.9998563878676471,7.180606617647059e-5,7.180606617647059e-5,0.9998951424429705,5.840982656805947e-6,9.901657437264161e-5
vanilla,16,4.0,38,20420752,-0.420325356550175,0.08057513961672527,0.5009004961669002,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,16,16.0,38,20420752,-0.2869070131954895,0.03792948834684543,0.32483650154233495,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,16,64.0,38,20420752,-0.1646918843161537,-0.07467810888983929,0.0900137754263144,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,16,256.0,38,20420752,-0.14800576981218797,-0.11456002005965495,0.03344574975253302,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,16,1024.0,38,20420752,-0.14311257618365103,-0.12459974784437114,0.01851282833927989,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,16,4096.0,38,20420752,-0.14387190907009673,-0.12614210525786929,0.01772980381222744,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,16,0.0,39,20420753,-0.277996120837378,0.08065011803441173,0.35864623887178976,0.2561779738366178,0.17697366317931365,0.5668483629840686,0.8333333333333333,0.08333333333333333,0.08333333333333333
vanilla,16,1.0,39,20420753,-0.2609136887729757,0.020364554022020538,0.28127824279499625,0.9998563878676471,7.180606617647059e-5,7.180606617647059e-5,0.9998951424429705,5.840982656805947e-6,9.901657437264161e-5
vanilla,16,4.0,39,20420753,-0.2646849443650017,0.053022297087633626,0.3177072414526353,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,16,16.0,39,20420753,-0.26871414758943113,0.05133316527533779,0.3200473128647689,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,16,64.0,39,20420753,-0.16742729040442772,-0.07992606236398098,0.08750122804044674,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,16,256.0,39,20420753,-0.1461026295911744,-0.11655887790653001,0.02954375168464439,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,16,1024.0,39,20420753,-0.1429305331784636,-0.12349309105616155,0.019437442122302057,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,16,4096.0,39,20420753,-0.143891727995289,-0.12603088042583538,0.01786084756945361,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
